respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
1848,2,64,12,16,NA,NA,NA,NA,High school diploma,Female,4,Working fulltime,57,NA,Someone else,Government,Social workers,Divorced,NA,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot a,NA,NA,2,$25000 or more,$25000 or more,West South Central,8,Republican,Slghtly conservative,NA,NA,NA,NA
1849,3,75,12,5,12,NA,NA,NA,High school diploma,Male,4,Retired,NA,NA,Self-employed,Private,First-line supervisors of construction trades and extraction workers,Widowed,NA,White,Yes,4,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Dull,Ballot c,Too much,About right,2,$25000 or more,(Missing),West South Central,8,Democrat,Conservative,About right,About right,Too little,NA
1850,3,55,7,NA,NA,7,NA,NA,NA,Male,2,Other,NA,NA,Someone else,Private,"Roustabouts, oil and gas",Married,Marriage between a man and a woman,White,Yes,5,Oppose,NA,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,NA,3,$8000 to 9999,(Missing),West South Central,8,Democrat,(Missing),NA,NA,NA,NA
1851,6,35,12,12,NA,11,NA,NA,High school diploma,Male,6,Working fulltime,40,NA,Someone else,Private,Mining machine operators,Married,Marriage between a man and a woman,Black,Yes,Govt reduce diff,Oppose,Not legal,None,NA,NA,Very happy,NA,NA,Ballot b,About right,About right,7,$25000 or more,(Missing),West South Central,8,Independent,Moderate,NA,About right,About right,NA
1852,1,24,12,13,13,NA,NA,NA,High school diploma,Female,4,Working fulltime,60,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Never married,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Not too happy,Good,Routine,Ballot a,About right,About right,2,$1000 to 2999,$3000 to 3999,West South Central,27,NA,Conservative,NA,Too little,Too little,NA
1853,1,27,12,12,NA,NA,NA,NA,High school diploma,Male,2,Working fulltime,44,NA,Someone else,Government,Grounds maintenance workers,Never married,NA,White,Yes,4,Favor,Legal,Protestant,Am baptist asso,NA,Not too happy,Fair,Routine,Ballot c,Too little,About right,2,$25000 or more,$25000 or more,West South Central,3,Republican,Conservative,Too much,Too little,Too little,NA
1854,1,28,10,6,6,11,NA,NA,Ged,Female,3,Keeping house,NA,NA,Someone else,Private,Receptionists and information clerks,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Catholic,NA,NA,Very happy,Good,Routine,Ballot a,About right,About right,3,$25000 or more,(Missing),West South Central,3,NA,Moderate,Too much,About right,Too little,NA
1855,0,61,18,12,18,NA,82,NA,High school diploma,Male,1,Retired,NA,NA,Someone else,Government,Counselors,Divorced,NA,White,Yes,3,Favor,Legal,Protestant,Southern baptist,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$25000 or more,(Missing),West South Central,3,Independent,Slghtly conservative,About right,Too little,Too little,NA
1856,2,67,13,19,13,16,NA,NA,High school diploma,Female,1,Keeping house,NA,NA,Self-employed,Private,"Opticians, dispensing",Married,Marriage between a man and a woman,White,Yes,6,Favor,NA,Protestant,Episcopal,NA,Very happy,Excellent,Exciting,Ballot c,Too little,Too little,2,Refused,(Missing),West South Central,3,Independent,Slghtly conservative,Too little,NA,About right,NA
1857,Eight or more,80,10,NA,NA,NA,NA,NA,NA,Male,3,Retired,NA,NA,Someone else,Government,Operating engineers and other construction equipment  operators,Widowed,NA,White,Yes,4,Favor,Not legal,None,NA,NA,Not too happy,NA,NA,Ballot b,About right,Too little,1,$25000 or more,(Missing),West South Central,3,Republican,Slghtly conservative,NA,NA,NA,NA
1858,2,86,16,16,16,NA,Education,NA,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Government,Postsecondary teachers,Widowed,NA,White,Yes,4,Favor,Not legal,Protestant,United methodist,NA,Pretty happy,Excellent,Exciting,Ballot c,Too little,About right,1,$25000 or more,(Missing),West South Central,3,Democrat,Liberal,NA,NA,NA,NA
1859,0,33,12,9,6,12,NA,NA,High school diploma,Female,4,Working fulltime,40,NA,Someone else,Private,"Combined food preparation and serving workers, including fast food",Married,Marriage between a man and a woman,Other,No,NA,Favor,NA,Catholic,NA,NA,Very happy,Good,Exciting,Ballot a,About right,About right,2,$20000 - 24999,$15000 - 19999,West South Central,3,NA,Liberal,NA,NA,NA,16
1860,1,28,18,12,12,NA,Education,NA,High school diploma,Female,2,Working fulltime,36,NA,Someone else,Government,Elementary and middle school teachers,Never married,NA,White,Yes,3,Favor,Legal,Protestant,Southern baptist,NA,Very happy,Excellent,Routine,Ballot c,About right,About right,4,$25000 or more,$25000 or more,West South Central,3,NA,Moderate,About right,Too little,Too little,NA
1861,3,30,9,5,15,NA,NA,NA,Ged,Female,4,Working fulltime,60,NA,Someone else,Private,Retail salespersons,Divorced,NA,White,Yes,NA,Oppose,NA,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot a,About right,About right,2,$7000 to 7999,(Missing),West South Central,3,NA,Moderate,NA,Too little,Too little,NA
1862,0,23,14,18,14,NA,NA,NA,High school diploma,Female,2,School,NA,NA,Someone else,Private,Dental assistants,Never married,NA,White,Yes,3,Favor,Legal,None,NA,NA,Not too happy,Good,Routine,Ballot c,Too little,Too little,1,Lt $1000,$1000 to 2999,West South Central,3,Independent,Liberal,NA,NA,NA,NA
1863,2,45,18,16,16,20,Nursing,NA,High school diploma,Female,2,Working fulltime,36,NA,Someone else,Private,Registered nurses,Married,Marriage between a man and a woman,Other,No,NA,Oppose,Not legal,Catholic,NA,NA,Very happy,NA,NA,Ballot b,About right,About right,4,$25000 or more,$25000 or more,West South Central,3,Independent,(Missing),About right,Too little,Too little,3
1864,2,77,11,11,12,NA,NA,NA,NA,Male,1,Working parttime,24,NA,Self-employed,Private,Barbers,Divorced,NA,White,Yes,NA,Favor,NA,None,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,1,$25000 or more,$25000 or more,West South Central,3,NA,Conservative,NA,NA,NA,NA
1865,3,39,11,12,12,11,NA,NA,NA,Female,8,Keeping house,NA,NA,Someone else,Private,Food service managers,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,NA,3,$25000 or more,(Missing),West South Central,3,NA,(Missing),NA,NA,NA,NA
1866,3,81,14,5,5,12,NA,NA,High school diploma,Male,2,Retired,NA,NA,Self-employed,Private,First-line supervisors of retail sales workers,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Not legal,Protestant,Am baptist asso,NA,Very happy,Fair,Routine,Ballot c,Too much,About right,2,$25000 or more,(Missing),West South Central,3,NA,Conservative,NA,NA,NA,NA
1867,5,32,9,NA,NA,NA,NA,NA,NA,Female,6,"Unempl, laid off",NA,NA,Someone else,Private,Cashiers,Separated,NA,Other,Yes,NA,Favor,NA,None,NA,NA,Not too happy,Fair,Dull,Ballot a,Too little,Too much,4,$4000 to 4999,(Missing),West South Central,3,NA,(Missing),NA,NA,NA,NA
1868,1,34,11,NA,8,11,NA,NA,NA,Male,5,Working fulltime,86,NA,Someone else,Private,Other extraction workers,Married,Marriage between a man and a woman,White,Yes,5,Favor,Legal,Protestant,No denomination,NA,Very happy,Excellent,Routine,Ballot c,Too little,About right,3,$25000 or more,$25000 or more,West South Central,27,Republican,Moderate,NA,NA,NA,NA
1869,2,39,19,11,18,NA,Art,NA,High school diploma,Female,1,Other,NA,NA,Someone else,Government,Elementary and middle school teachers,Never married,NA,White,Yes,NA,Favor,NA,Protestant,No denomination,NA,Not too happy,Poor,Routine,Ballot a,Too little,Too little,4,$25000 or more,(Missing),West South Central,27,Democrat,Moderate,NA,NA,NA,NA
1870,2,59,13,3,1,NA,NA,NA,High school diploma,Female,4,Working fulltime,40,NA,Someone else,Private,Marketing and sales managers,Divorced,NA,Other,Yes,2,Oppose,Legal,Catholic,NA,NA,Not too happy,Excellent,Routine,Ballot c,Too much,About right,1,$25000 or more,$25000 or more,West South Central,27,Independent,Moderate,About right,Too little,Too little,NA
1871,4,49,13,5,5,NA,Business administration,NA,High school diploma,Male,4,Working fulltime,89,NA,Someone else,Private,"Material moving workers, all other",Divorced,NA,Other,Yes,NA,Favor,NA,Protestant,Baptist-dk which,NA,Pretty happy,Good,Exciting,Ballot a,About right,About right,2,$25000 or more,$25000 or more,West South Central,27,NA,Conservative,Too much,Too little,Too little,NA
1872,3,84,16,NA,16,6,Physics,Mathmatics,High school diploma,Male,2,Retired,NA,NA,Someone else,Private,Civil engineers,Married,Marriage between a man and a woman,White,Yes,4,NA,NA,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot c,Too little,About right,2,$25000 or more,(Missing),West South Central,27,Independent,Slghtly conservative,NA,NA,NA,NA
1873,0,24,11,11,11,NA,NA,NA,NA,Female,5,Working fulltime,42,NA,Someone else,Private,"Combined food preparation and serving workers, including fast food",Never married,NA,White,Yes,3,Favor,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,5,$25000 or more,$1000 to 2999,West South Central,27,NA,Moderate,NA,Too little,Too little,NA
1874,2,52,13,16,6,12,NA,NA,High school diploma,Male,16,Working fulltime,40,NA,Someone else,Government,First-line supervisors of construction trades and extraction workers,Married,Marriage between a man and a woman,Other,Yes,NA,Favor,NA,Catholic,NA,NA,Very happy,Excellent,Routine,Ballot a,Too little,About right,3,$25000 or more,(Missing),West South Central,27,Democrat,Slghtly conservative,NA,NA,NA,NA
1875,3,36,12,7,15,10,NA,NA,High school diploma,Female,2,Keeping house,NA,NA,Someone else,Private,First-line supervisors of gaming workers,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Favor,Not legal,Protestant,Am baptist asso,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,4,$25000 or more,(Missing),West South Central,27,Independent,Moderate,NA,NA,NA,NA
1876,4,30,6,NA,0,6,NA,NA,NA,Female,4,Keeping house,NA,NA,NA,NA,NA,Married,Marriage between a man and a woman,Other,No,Govt reduce diff,Oppose,Not legal,Protestant,Methodist-dk which,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,6,$25000 or more,(Missing),West South Central,27,NA,Extremely liberal,NA,About right,About right,12
1877,3,67,12,NA,NA,NA,NA,NA,High school diploma,Female,7,Retired,NA,NA,Someone else,Private,Pumping station operators,Never married,NA,Black,Yes,NA,Oppose,NA,Protestant,Southern baptist,NA,Very happy,Excellent,Exciting,Ballot a,About right,Too little,1,$10000 - 14999,(Missing),West South Central,27,Democrat,Extrmly conservative,NA,NA,NA,NA
1878,0,18,10,9,NA,NA,NA,NA,NA,Male,3,School,NA,NA,NA,NA,NA,Never married,NA,White,Yes,Govt reduce diff,Favor,Legal,None,NA,NA,Pretty happy,Excellent,Routine,Ballot c,About right,About right,2,$25000 or more,(Missing),West South Central,27,NA,Extremely liberal,Too little,Too little,Too little,NA
1879,1,53,12,12,12,NA,NA,NA,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Government,"Nursing, psychiatric, and home health aides",Never married,NA,Black,Yes,4,Oppose,Not legal,Protestant,Other baptists,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,1,$25000 or more,$25000 or more,West South Central,27,NA,Moderate,NA,NA,NA,NA
1880,3,49,9,NA,NA,NA,NA,NA,Ged,Female,3,"Unempl, laid off",NA,NA,Someone else,Private,Construction laborers,Separated,NA,White,Yes,2,Favor,NA,Protestant,Baptist-dk which,NA,Not too happy,Fair,Routine,Ballot c,About right,Too little,2,$5000 to 5999,$3000 to 3999,West South Central,27,NA,Moderate,NA,NA,NA,NA
1881,3,24,13,11,10,NA,NA,NA,High school diploma,Female,3,Working fulltime,48,NA,Self-employed,Private,Childcare workers,Never married,NA,Black,Yes,NA,Favor,NA,None,NA,NA,Very happy,Good,Exciting,Ballot a,About right,Too little,4,$10000 - 14999,(Missing),West South Central,27,Independent,Moderate,NA,NA,NA,NA
1882,Eight or more,72,8,NA,NA,NA,NA,NA,NA,Female,11,Retired,NA,NA,Someone else,NA,Cooks,Separated,NA,Other,Yes,3,Oppose,Not legal,Catholic,NA,NA,Very happy,Fair,Exciting,Ballot c,Too little,About right,1,$7000 to 7999,(Missing),West South Central,27,Democrat,Moderate,About right,Too little,Too little,NA
1883,3,54,12,2,1,10,NA,NA,High school diploma,Female,7,Keeping house,NA,NA,Someone else,Government,"Production workers, all other",Married,Marriage between a man and a woman,White,No,NA,Oppose,NA,Catholic,NA,NA,Very happy,Good,Routine,Ballot a,About right,About right,2,$25000 or more,(Missing),West South Central,23,Independent,Moderate,Too much,Too little,Too much,35
1884,0,21,12,3,12,NA,NA,NA,High school diploma,Male,4,Working fulltime,40,NA,Someone else,Private,Logging workers,Never married,NA,Other,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,4,$6000 to 6999,Lt $1000,West South Central,23,Independent,Slightly liberal,About right,About right,Too little,NA
1885,4,34,9,12,12,12,NA,NA,Ged,Male,2,Working fulltime,60,NA,Someone else,Private,Electricians,Married,Marriage between a man and a woman,Other,Yes,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Very happy,NA,NA,Ballot b,Too little,About right,1,$25000 or more,$25000 or more,West South Central,23,NA,Slghtly conservative,About right,Too little,Too little,NA
1886,2,60,12,12,12,NA,NA,NA,High school diploma,Female,2,Working fulltime,36,NA,Someone else,Government,Health practitioner support technologists and technicians,Divorced,NA,White,Yes,NA,Favor,NA,None,NA,NA,Not too happy,Fair,Dull,Ballot a,Too little,Too little,2,$25000 or more,$25000 or more,West South Central,23,Democrat,Moderate,NA,NA,NA,NA
1887,2,25,12,12,NA,12,NA,NA,High school diploma,Female,6,Keeping house,NA,NA,NA,NA,NA,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Legal,Protestant,Baptist-dk which,NA,Very happy,Good,Exciting,Ballot c,About right,Too little,4,$25000 or more,(Missing),West South Central,23,NA,Conservative,Too little,Too little,Too little,NA
1888,3,53,12,4,4,NA,NA,NA,High school diploma,Female,7,Temp not working,NA,40,Someone else,Private,"Office clerks, general",Divorced,NA,Other,No,6,Oppose,Not legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,2,$25000 or more,$25000 or more,West South Central,23,Independent,Conservative,NA,NA,NA,34
1889,2,33,12,12,NA,12,NA,NA,High school diploma,Male,1,Working fulltime,55,NA,Someone else,Private,Heavy vehicle and mobile equipment service technicians and mechanics,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Other,Christian; Central Christian,Pretty happy,Good,Routine,Ballot a,About right,About right,4,$25000 or more,$25000 or more,West South Central,23,NA,Moderate,Too much,Too little,Too little,NA
1890,Eight or more,30,12,16,15,12,NA,NA,High school diploma,Female,3,Working fulltime,48,NA,Someone else,Private,Clinical laboratory technologists and technicians,Married,Marriage between a man and a woman,Other,Yes,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Very happy,Good,Exciting,Ballot c,About right,About right,10,$25000 or more,$25000 or more,West South Central,23,Independent,Moderate,NA,NA,NA,NA
1891,3,43,11,NA,NA,NA,NA,NA,Other,Male,12,Working fulltime,55,NA,Someone else,Private,"Crushing, grinding, polishing, mixing, and blending workers",Divorced,NA,Other,Yes,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Pretty happy,Fair,Exciting,Ballot c,Too little,Too little,4,$25000 or more,$20000 - 24999,West South Central,100,Independent,Slightly liberal,NA,About right,Too little,NA
1892,1,27,10,NA,NA,NA,NA,NA,NA,Male,8,Working fulltime,89,NA,Someone else,Private,"Pipelayers, plumbers, pipefitters, and steamfitters",Never married,NA,Other,Yes,3,Oppose,Legal,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$20000 - 24999,West South Central,100,NA,Moderate,NA,NA,NA,NA
1893,1,57,11,NA,12,NA,NA,NA,Ged,Male,4,Other,NA,NA,Someone else,Private,"Grinding, lapping, polishing, and buffing machine tool setters,  operators, and tenders, metal and plastic",Never married,NA,Black,Yes,Govt reduce diff,Favor,Not legal,Protestant,Baptist-dk which,NA,Very happy,Poor,Exciting,Ballot c,Too little,About right,2,$20000 - 24999,(Missing),West South Central,100,NA,Moderate,NA,NA,NA,NA
1894,4,43,8,NA,3,NA,NA,NA,NA,Female,4,"Unempl, laid off",NA,NA,Self-employed,Private,Maids and housekeeping cleaners,Never married,NA,Other,Yes,4,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,NA,NA,3,$1000 to 2999,(Missing),West South Central,100,Democrat,Slghtly conservative,NA,About right,Too little,NA
1895,2,49,13,NA,12,NA,NA,NA,Ged,Female,7,Working fulltime,40,NA,Someone else,Private,Cooks,Divorced,NA,Other,No,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,About right,3,$10000 - 14999,(Missing),West South Central,100,Democrat,Slghtly conservative,About right,Too little,Too little,17
1896,6,61,10,10,NA,NA,NA,NA,NA,Female,3,Working fulltime,62,NA,Someone else,Private,Cooks,Divorced,NA,White,Yes,2,Favor,Legal,Protestant,Baptist-dk which,NA,Pretty happy,Good,Routine,Ballot c,Too much,NA,5,$20000 - 24999,$20000 - 24999,West South Central,100,NA,Moderate,NA,NA,NA,NA
1897,2,39,14,14,10,NA,NA,NA,High school diploma,Male,4,Working fulltime,54,NA,Someone else,Private,Driver/sales workers and truck drivers,Separated,NA,Other,Yes,6,Oppose,Legal,Protestant,No denomination,NA,Pretty happy,Good,Routine,Ballot c,Too little,About right,3,$25000 or more,$25000 or more,West South Central,100,Democrat,Slightly liberal,Too much,Too little,Too little,NA
1898,2,54,14,9,14,NA,NA,NA,High school diploma,Female,0,Working fulltime,38,NA,Self-employed,Private,Nonfarm animal caretakers,Divorced,NA,White,Yes,4,Oppose,Legal,Protestant,Baptist-dk which,NA,Pretty happy,NA,NA,Ballot b,About right,About right,3,$25000 or more,(Missing),West South Central,100,NA,Extrmly conservative,NA,NA,NA,NA
1899,5,55,8,NA,NA,6,NA,NA,NA,Female,7,Working fulltime,65,NA,Someone else,Private,Cooks,Married,Marriage between a man and a woman,Other,No,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Excellent,Routine,Ballot a,Too little,About right,6,$25000 or more,$25000 or more,West South Central,111,Democrat,Slightly liberal,NA,NA,NA,36
1900,0,54,12,10,12,NA,NA,NA,High school diploma,Male,4,Working parttime,20,NA,Someone else,Private,Cooks,Never married,NA,Black,Yes,No govt action,Favor,Legal,Protestant,Baptist-dk which,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$4000 to 4999,(Missing),West South Central,111,Democrat,Conservative,NA,NA,NA,NA
1901,3,49,11,9,4,9,NA,NA,NA,Male,2,Working fulltime,75,NA,Someone else,Private,"Sales representatives,  wholesale and manufacturing",Married,Marriage between a man and a woman,Other,Yes,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,2,$25000 or more,$25000 or more,West South Central,111,Republican,Moderate,About right,About right,Too little,NA
1902,5,77,12,NA,NA,NA,NA,NA,High school diploma,Female,8,Retired,NA,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Divorced,NA,Black,Yes,4,Oppose,Not legal,None,NA,NA,Very happy,NA,NA,Ballot b,NA,NA,3,$8000 to 9999,$1000 to 2999,West South Central,111,NA,Moderate,NA,NA,NA,NA
1903,5,80,10,5,5,5,NA,NA,High school diploma,Female,10,Keeping house,NA,NA,Someone else,Private,Packaging and filling machine operators and tenders,Married,Marriage between a man and a woman,White,No,NA,Oppose,NA,Protestant,Other,Jehovah's Witnesses,Pretty happy,Good,Exciting,Ballot a,Too little,Too much,3,$25000 or more,(Missing),West South Central,111,NA,Conservative,Too much,Too little,Too little,11
1904,3,43,10,12,8,10,NA,NA,NA,Male,4,Working fulltime,65,NA,Someone else,Private,Crane and tower operators,Married,Marriage between a man and a woman,White,No,2,Favor,Not legal,Catholic,NA,NA,Not too happy,Excellent,Routine,Ballot c,Too little,Too little,2,$25000 or more,$25000 or more,West South Central,111,Democrat,Moderate,NA,NA,NA,20
1905,3,45,4,3,5,NA,NA,NA,NA,Female,5,Working fulltime,40,NA,Someone else,Private,"Combined food preparation and serving workers, including fast food",Widowed,NA,Other,No,NA,Oppose,NA,Protestant,Other,Jehovah's Witnesses,Not too happy,Fair,Routine,Ballot a,About right,NA,5,$10000 - 14999,$3000 to 3999,West South Central,111,NA,Extremely liberal,NA,NA,NA,27
1906,4,33,15,12,12,14,NA,NA,High school diploma,Male,3,"Unempl, laid off",NA,NA,Someone else,Private,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,Protestant,Afr meth ep zion,NA,Very happy,Fair,Exciting,Ballot a,Too little,Too little,5,$25000 or more,$25000 or more,West South Central,111,Democrat,Moderate,About right,Too little,Too little,NA
1907,0,51,14,12,12,NA,NA,NA,High school diploma,Male,2,Working fulltime,70,NA,Someone else,Private,First-line supervisors of construction trades and extraction workers,Divorced,NA,White,Yes,4,Favor,Not legal,Protestant,Other,Pentecostal,Pretty happy,Good,Routine,Ballot c,About right,About right,1,$25000 or more,$25000 or more,West South Central,111,NA,Moderate,NA,NA,NA,NA
1908,3,34,12,NA,7,NA,NA,NA,High school diploma,Female,6,Working fulltime,34,NA,Someone else,Private,Cooks,Never married,NA,White,Yes,3,Favor,Legal,Protestant,Other,Christian; Central Christian,Pretty happy,Fair,Routine,Ballot c,Too little,About right,6,$25000 or more,$10000 - 14999,West South Central,111,NA,Moderate,About right,Too little,Too little,NA
1909,0,28,17,12,NA,16,Engineering,NA,High school diploma,Male,3,Working fulltime,50,NA,Someone else,Private,Petroleum engineers,Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,Protestant,No denomination,NA,Very happy,Good,Exciting,Ballot c,Too little,About right,2,$25000 or more,$25000 or more,West South Central,111,Republican,Slghtly conservative,NA,NA,NA,NA
1910,1,35,15,16,16,15,General studies,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Private,Real estate brokers and sales agents,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Legal,Protestant,Baptist-dk which,NA,Very happy,NA,NA,Ballot b,Too little,Too little,4,$25000 or more,$25000 or more,West South Central,111,NA,Conservative,Too little,Too much,Too little,NA
1911,3,61,16,18,12,NA,Medicine,NA,High school diploma,Male,4,Working fulltime,40,NA,Someone else,Government,Physician assistants,Widowed,NA,White,No,NA,Favor,NA,Catholic,NA,NA,Not too happy,Fair,Exciting,Ballot a,About right,Too little,2,Refused,Refused,West South Central,111,Independent,Moderate,NA,NA,NA,22
1912,0,35,20,16,18,15,Education,Fine arts,High school diploma,Female,2,Working fulltime,20,NA,Someone else,Private,Secondary school teachers,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too little,2,$25000 or more,$25000 or more,NA,546,Independent,Moderate,Too little,Too little,NA,NA
1913,0,66,14,12,13,NA,NA,NA,High school diploma,Female,2,Working fulltime,30,NA,Self-employed,NA,Computer control programmers and operators,Divorced,NA,White,Yes,2,Oppose,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,2,$25000 or more,$25000 or more,NA,546,Democrat,Extremely liberal,Too little,Too little,Too little,NA
1914,2,43,12,16,5,NA,NA,NA,High school diploma,Male,0,Working fulltime,60,NA,Someone else,Government,General and operations managers,Divorced,NA,White,No,NA,Favor,NA,Protestant,Lutheran-mo synod,NA,Pretty happy,Poor,Exciting,Ballot a,About right,Too much,1,$25000 or more,(Missing),NA,546,NA,Slghtly conservative,Too little,About right,Too little,40
1915,0,20,11,NA,9,NA,NA,NA,Ged,Male,4,Working fulltime,60,NA,Someone else,Private,"Sales representatives, services, all other",Never married,NA,White,Yes,4,Oppose,Legal,Protestant,No denomination,NA,Not too happy,Excellent,Exciting,Ballot c,About right,About right,1,$15000 - 19999,(Missing),NA,546,Democrat,Extremely liberal,NA,NA,NA,NA
1916,0,60,20,20,18,18,Engineering,NA,High school diploma,Male,2,Retired,NA,NA,Someone else,Government,Secondary school teachers,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,Too little,2,Refused,(Missing),NA,546,NA,Moderate,NA,NA,NA,NA
1917,2,64,13,14,12,14,General studies,NA,High school diploma,Female,2,Retired,NA,NA,Someone else,Government,Social workers,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Not legal,Protestant,Episcopal,NA,Pretty happy,Good,Exciting,Ballot c,Too much,About right,2,$25000 or more,(Missing),NA,546,NA,Conservative,Too little,Too much,Too little,NA
1918,0,34,12,NA,12,NA,NA,NA,High school diploma,Male,6,Keeping house,NA,NA,Someone else,Private,First-line supervisors of housekeeping and janitorial workers,Never married,NA,Other,Yes,NA,NA,NA,None,NA,NA,Not too happy,Poor,Dull,Ballot a,About right,About right,1,(Missing),(Missing),NA,546,NA,Moderate,NA,NA,NA,NA
1919,0,60,12,10,12,NA,NA,NA,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Government,"Nursing, psychiatric, and home health aides",Never married,NA,White,Yes,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$25000 or more,$25000 or more,NA,546,Democrat,Moderate,NA,NA,NA,NA
1920,0,34,12,14,14,NA,NA,NA,High school diploma,Male,1,Working fulltime,60,NA,Someone else,Private,Carpenters,Never married,NA,White,Yes,5,Favor,Not legal,Catholic,NA,NA,Very happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$25000 or more,NA,546,Independent,Moderate,About right,About right,About right,NA
1921,1,31,14,NA,12,16,NA,NA,High school diploma,Female,2,Working parttime,24,NA,Someone else,Private,Miscellaneous health technologists and technicians,Married,Marriage between a man and a woman,White,Yes,5,Favor,Legal,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,(Missing),NA,546,Democrat,Moderate,About right,Too little,Too little,NA
1922,0,24,12,16,12,NA,NA,NA,High school diploma,Male,3,Working fulltime,89,NA,Someone else,Government,Health practitioner support technologists and technicians,Never married,NA,White,Yes,5,Oppose,Not legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too much,2,$25000 or more,$25000 or more,NA,546,Republican,Moderate,About right,Too little,About right,NA
1923,4,64,16,8,8,NA,Political science/international relations,NA,High school diploma,Female,5,Working fulltime,40,NA,Someone else,Government,Lawyers,Divorced,NA,Other,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too little,3,$25000 or more,$25000 or more,NA,546,Democrat,Liberal,NA,NA,NA,NA
